End of video
         744240 function calls (741544 primitive calls) in 53.911 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      211    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 sre_parse.py:11(<module>)
      107    0.000    0.000    0.000    0.000 re.py:186(match)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _pickle.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       26    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
       12    0.000    0.000    0.000    0.000 Robot.py:89(moveMeat)
       17    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       67    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
       74    0.000    0.000    0.000    0.000 sre_constants.py:57(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
       54    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
       62    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
      362    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       67    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       54    0.000    0.000    0.000    0.000 linalg.py:121(isComplexType)
        5    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.017    0.017 _distributor_init.py:2(<module>)
      122    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
       19    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       69    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
       26    0.000    0.000    0.000    0.000 core.py:927(__init__)
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
       12    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
       99    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       64    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        2    0.000    0.000    0.000    0.000 glob.py:116(_iterdir)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       24    0.000    0.000    0.000    0.000 Point.py:74(copy)
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
