End of video
         741406 function calls (738711 primitive calls) in 49.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
       18    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
      216    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.001    0.001 locale.py:1(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:171(<setcomp>)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x0B763148}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       54    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.025    0.025 multiarray.py:1(<module>)
       66    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        2    0.000    0.000    0.009    0.005 shape_base.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
      110    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      166    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       60    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
       54    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(norm)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      224    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      374    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       31    0.000    0.000    0.000    0.000 enum.py:828(__and__)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
       17    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       58    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       21    0.000    0.000    0.041    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
      211    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       46    0.000    0.000    0.000    0.000 enum.py:368(__setattr__)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
    43/30    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       64    0.000    0.000    0.000    0.000 enum.py:278(__call__)
       91    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      269    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       64    0.000    0.000    0.000    0.000 enum.py:557(__new__)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6665(getdoc)
        1    0.000    0.000    0.000    0.000 threading.py:494(Event)
       67    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.014    0.014 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
       54    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:3130(around)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
       33    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:1619(ArgumentParser)
      190    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       69    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
      158    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       33    0.000    0.000    0.004    0.000 sre_compile.py:598(_code)
       44    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.018    0.018 index_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sre_parse.py:11(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
        5    0.000    0.000    0.000    0.000 threading.py:222(__init__)
       12    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        2    0.000    0.000    0.000    0.000 glob.py:116(_iterdir)
      107    0.000    0.000    0.001    0.000 re.py:186(match)
      100    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      430    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.003    0.003 _pocketfft.py:1(<module>)
